A,C,P,B,L,R,LA
3,2,60,12.9537,110.6,1,6
3,2,60,12.9505,110.4,1,6
3,2,60,12.9472,110.4,1,6
3,2,60,12.9635,110.4,1,6
3,2,60,12.9635,110.8,1,6
3,2,60,12.9472,110.8,1,6
3,2,60,12.9537,110.6,1,6
3,2,60,12.9603,111,1,6
3,2,60,12.9668,111,1,6
3,2,60,12.9668,110.8,1,6
3,2,60,12.9635,110.4,1,6
3,2,60,12.9505,110.6,1,6
3,2,60,12.9505,110.6,1,6
3,2,60,12.9603,110.8,1,6
3,2,60,12.9375,110.2,1,6
3,2,60,12.9798,111.2,1,6
3,2,60,12.931,110,1,6
3,2,60,12.9472,110.8,1,6
3,2,60,12.9537,110.2,1,6
3,2,60,12.9635,111.6,1,6
3,2,60,12.9505,110.4,1,6
3,2,60,12.9472,110.2,1,6
3,2,60,12.9798,110.8,1,6
3,2,60,12.9407,110.6,1,6
3,2,60,12.9603,110.2,1,6
3,2,66,16.7515,120,1,7
3,2,66,16.7547,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.7482,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.7482,120,1,7
3,2,66,16.7645,120,1,7
3,2,66,16.7482,120,1,7
3,2,66,16.7482,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.7645,120,1,7
3,2,66,16.7482,120,1,7
3,2,66,16.7417,120,1,7
3,2,66,16.7482,120,1,7
3,2,66,16.758,120,1,7
3,2,66,16.758,120,1,7
3,2,66,16.7449,120,1,7
3,2,66,16.7547,120,1,7
3,2,66,16.7449,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.7482,120,1,7
3,2,66,16.7482,120,1,7
3,2,66,16.758,120,1,7
3,2,66,16.7449,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.7449,120,1,7
3,2,66,16.7482,120,1,7
3,2,66,16.758,120,1,7
3,2,66,16.7482,120,1,7
3,2,66,16.7547,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.7482,120,1,7
3,2,66,16.7482,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.7449,120,1,7
3,2,66,16.7449,120,1,7
3,2,66,16.7417,120,1,7
3,2,66,16.7612,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.7449,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.7482,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.7645,120,1,7
3,2,66,16.7449,120,1,7
3,2,66,16.7417,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.7417,120,1,7
3,2,66,16.7482,120,1,7
3,2,66,16.7547,120,1,7
3,2,66,16.7612,120,1,7
3,2,66,16.7482,120,1,7
3,2,66,16.7547,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.7547,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.7547,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.758,120,1,7
3,2,66,16.771,120,1,7
3,2,66,16.7482,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.7612,120,1,7
3,2,66,16.7612,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.7515,120,1,7
3,2,66,16.7547,120,1,7
3,2,66,16.7482,120,1,7
3,2,66,16.7482,120,1,7
3,2,66,16.7547,120,1,7
3,2,66,16.7482,120,1,7
3,2,66,16.7482,120,1,7
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
